Aged 3rd H,,,,,
T (K),V (mm3),,,,
706.518591,130.510560,,,,
706.690649,130.511177,,,,
706.841925,130.513028,,,,
706.990302,130.513644,,,,
707.098120,130.513747,,,,
707.239844,130.515700,,,,
707.471442,130.516317,,,,
707.694464,130.518374,,,,
707.829626,130.519607,,,,
708.067725,130.520327,,,,
708.020575,130.523103,,,,
708.267126,130.523515,,,,
708.369147,130.523617,,,,
708.572363,130.525468,,,,
708.820807,130.526188,,,,
709.000311,130.526805,,,,
709.089117,130.529478,,,,
709.260077,130.530609,,,,
709.397986,130.530815,,,,
709.569952,130.533077,,,,
709.802222,130.533077,,,,
709.956183,130.535133,,,,
710.099768,130.535956,,,,
710.228186,130.536984,,,,
710.429327,130.537807,,,,
710.646552,130.538732,,,,
710.641760,130.540480,,,,
710.990240,130.540994,,,,
711.055365,130.541817,,,,
711.443396,130.543359,,,,
711.447150,130.543462,,,,
711.721808,130.544490,,,,
711.846411,130.546547,,,,
711.939825,130.548089,,,,
712.024847,130.550249,,,,
712.291937,130.550763,,,,
712.403265,130.551894,,,,
712.456091,130.551791,,,,
712.875128,130.554259,,,,
712.841132,130.554465,,,,
713.025153,130.556213,,,,
713.285559,130.555082,,,,
713.284644,130.556522,,,,
713.516699,130.557447,,,,
713.745978,130.558373,,,,
713.854437,130.560429,,,,
714.047858,130.562589,,,,
714.264777,130.563000,,,,
714.476996,130.565057,,,,
714.625128,130.567217,,,,
714.805212,130.566908,,,,
714.877844,130.569376,,,,
715.045691,130.569068,,,,
715.398413,130.570919,,,,
715.448340,130.570816,,,,
715.820807,130.571742,,,,
715.755743,130.572976,,,,
715.882056,130.574621,,,,
716.106390,130.577090,,,,
716.237433,130.577501,,,,
716.410864,130.578529,,,,
716.592871,130.579763,,,,
716.866187,130.581306,,,,
716.911414,130.582849,,,,
717.110327,130.582540,,,,
717.210150,130.583877,,,,
717.406165,130.584906,,,,
717.646490,130.585420,,,,
717.759558,130.587580,,,,
717.943335,130.588609,,,,
718.030951,130.590254,,,,
718.321112,130.590254,,,,
718.390845,130.591077,,,,
718.642340,130.593648,,,,
718.666907,130.593237,,,,
718.973029,130.595294,,,,
719.126563,130.594985,,,,
719.078497,130.597660,,,,
719.426031,130.599820,,,,
719.372412,130.599717,,,,
719.823523,130.600334,,,,
720.105994,130.602597,,,,
719.973181,130.604037,,,,
720.361151,130.603934,,,,
720.564551,130.605168,,,,
720.698218,130.606403,,,,
720.766028,130.608357,,,,
720.987250,130.608048,,,,
721.165167,130.608974,,,,
721.164252,130.610106,,,,
721.505896,130.611546,,,,
721.662146,130.613295,,,,
721.759100,130.614837,,,,
721.743109,130.615557,,,,
722.061224,130.615763,,,,
722.159064,130.617306,,,,
722.440466,130.618849,,,,
722.556219,130.619363,,,,
722.698248,130.621729,,,,
722.864813,130.621009,,,,
723.185645,130.621935,,,,
723.231757,130.623890,,,,
723.335181,130.624095,,,,
723.658789,130.625433,,,,
723.753882,130.629239,,,,
723.896796,130.629136,,,,
724.062354,130.629650,,,,
724.302161,130.630679,,,,
724.419775,130.632325,,,,
724.686804,130.633560,,,,
724.853217,130.634897,,,,
724.824072,130.635103,,,,
725.239752,130.636955,,,,
725.402350,130.637777,,,,
725.499213,130.639012,,,,
725.585730,130.639732,,,,
725.695715,130.640967,,,,
725.921301,130.643127,,,,
726.311438,130.644465,,,,
726.263464,130.645185,,,,
726.419470,130.646317,,,,
726.518256,130.646522,,,,
726.783209,130.648066,,,,
726.956122,130.649917,,,,
727.299139,130.651358,,,,
727.193915,130.652592,,,,
727.511511,130.653107,,,,
727.725745,130.653004,,,,
727.835669,130.655885,,,,
727.905249,130.655679,,,,
728.212408,130.657120,,,,
728.350500,130.657120,,,,
728.487646,130.658663,,,,
728.741248,130.661132,,,,
728.777930,130.661749,,,,
728.896277,130.663498,,,,
729.128241,130.664322,,,,
729.278448,130.665350,,,,
729.432471,130.665968,,,,
729.551794,130.667614,,,,
729.802527,130.668026,,,,
729.909521,130.670392,,,,
730.193121,130.669775,,,,
730.222235,130.671833,,,,
730.400580,130.671215,,,,
730.456061,130.672553,,,,
730.707617,130.675228,,,,
730.875647,130.674611,,,,
731.047339,130.677081,,,,
731.114966,130.677492,,,,
731.288611,130.679653,,,,
731.447272,130.679550,,,,
731.804846,130.680991,,,,
732.097632,130.682534,,,,
732.119238,130.683254,,,,
732.203650,130.685107,,,,
732.352820,130.685415,,,,
732.537695,130.686342,,,,
732.800360,130.686239,,,,
733.003973,130.688194,,,,
733.145605,130.689737,,,,
733.302313,130.690149,,,,
733.275122,130.692207,,,,
733.590308,130.694471,,,,
733.752570,130.693854,,,,
733.871710,130.694574,,,,
734.171820,130.696323,,,,
734.164343,130.696632,,,,
734.314368,130.698279,,,,
734.653784,130.700337,,,,
734.833807,130.700749,,,,
734.843237,130.701572,,,,
735.076666,130.702807,,,,
735.194800,130.704453,,,,
735.394537,130.703939,,,,
735.650427,130.706512,,,,
735.856665,130.706615,,,,
735.935400,130.707746,,,,
736.017004,130.709187,,,,
736.247504,130.711245,,,,
736.430304,130.711554,,,,
736.583075,130.712584,,,,
736.592413,130.714436,,,,
736.891364,130.715671,,,,
737.177161,130.716906,,,,
737.221228,130.717729,,,,
